data,total
15/08/2024 09:34,34.1
15/08/2024 09:36,16.5
15/08/2024 09:36,17.6
15/08/2024 09:37,19.8
15/08/2024 10:57,45.98
15/08/2024 11:15,44
15/08/2024 12:32,16.5
15/08/2024 13:11,67
15/08/2024 15:28,23.1
15/08/2024 15:34,82.5
15/08/2024 15:42,50.6
15/08/2024 15:49,49.28
15/08/2024 15:51,128.7
15/08/2024 15:52,36.3
15/08/2024 15:56,44
15/08/2024 16:11,59.4
15/08/2024 16:23,79.2
15/08/2024 16:25,68.2
15/08/2024 16:51,24.2
15/08/2024 17:01,48
15/08/2024 17:12,59.29
15/08/2024 17:17,32
15/08/2024 17:18,48.4
15/08/2024 17:18,13.2
15/08/2024 17:21,16.5
15/08/2024 17:28,48.29
15/08/2024 17:30,46.2
15/08/2024 17:31,55
15/08/2024 17:49,30.8
15/08/2024 17:50,33
15/08/2024 18:06,12
15/08/2024 18:08,27.5
15/08/2024 18:08,28.6
15/08/2024 18:29,52.8
15/08/2024 18:33,27.5
15/08/2024 18:36,27
15/08/2024 18:54,47.3
15/08/2024 19:22,18.7
16/08/2024 07:45,62.7
16/08/2024 07:53,13.2
16/08/2024 07:54,18.7
16/08/2024 08:00,12.1
16/08/2024 08:07,93.28
16/08/2024 08:09,18.59
16/08/2024 08:13,16.5
16/08/2024 08:13,8.8
16/08/2024 08:15,54.89
16/08/2024 08:15,11.99
16/08/2024 08:32,18.7
16/08/2024 08:33,55
16/08/2024 08:35,34.1
16/08/2024 08:38,25.19
16/08/2024 08:38,17.6
16/08/2024 08:52,30.8
16/08/2024 08:56,23.1
16/08/2024 09:03,45.98
16/08/2024 10:22,61.6
16/08/2024 10:27,17
16/08/2024 10:46,27.5
16/08/2024 10:50,29.9
16/08/2024 11:09,30.8
16/08/2024 11:10,40.7
16/08/2024 12:23,25.3
16/08/2024 12:25,26.29
16/08/2024 13:54,23.1
16/08/2024 13:54,19.8
16/08/2024 14:03,52.8
16/08/2024 14:41,24.2
16/08/2024 15:11,28.6
16/08/2024 15:14,33
16/08/2024 15:24,15.4
16/08/2024 16:21,25.3
16/08/2024 16:22,70.4
16/08/2024 16:34,16.5
16/08/2024 16:36,55
16/08/2024 16:39,74.8
16/08/2024 17:01,106.7
